,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance
0,0.8,0.8,1.5695777275188407,2.2105311022864447,0.7100455297350763,30.374279196948017,109.15921248895869,114.5115527779717,225.37914609659018
1,0.0,0.6,3.53066287820682,0.8974863953060574,3.9339458477282063,5.470910306608321,208.91246930047194,17.714736095877395,187.00990468868292
2,0.4,0.8,1.4790498372153598,1.4838972356584337,0.9967333327897716,31.638681640759483,151.98578533907573,125.48144085687059,224.3169948433652
3,0.4,1.0,1.7978832527808912,1.2601139015621607,1.426762493892067,20.695853045870592,175.79239208756277,88.74287345207954,219.82469245193687
4,0.0,1.2,2.613149063924207,0.7015043894449869,3.7250644518299687,11.482693119073842,304.4111119606926,41.57307484205299,212.78668046028068
5,0.0,1.0,2.308997660905657,0.6639048258463541,3.4779046197805807,10.737090782973716,309.8167245678536,51.81049004181454,204.9305261736216
6,0.6,0.8,1.9122490173120448,1.4770095613267684,1.2946761262630617,35.93531715305821,177.25790486387947,93.22130085209234,257.65939238288854
7,0.8,1.4,1.0290556525576564,2.2362281746334505,0.4601747103585855,58.96941877323208,120.84055540627901,243.2627795973339,253.16066466269604
8,0.2,1.2,1.5302372648303755,0.9150827195909288,1.6722392763732228,35.858664377706745,266.22825685842275,128.5554834041052,242.75560865546998
9,0.4,1.2,1.5379689563108223,1.233011696073744,1.2473271431310409,32.584741748217034,193.73811485906697,120.53778830446223,229.48635938886093
10,0.4,0.6,2.3935534409906483,1.470924562878079,1.6272441846421486,21.337069501705365,158.08059191727722,54.07761096157026,230.0731864075102
11,0.6,1.0,1.4042964533626536,1.7406881385379367,0.8067478730234642,40.06000318409193,140.15273648833656,146.6197054102491,241.46604596606943
12,0.0,0.8,2.635974155165556,0.6604178746541342,3.991373123487967,8.485563778927732,302.24884456766097,37.99620500791316,198.18618373699218
13,0.8,1.2,1.1515763926581037,2.076696422364977,0.5545232226801206,63.76089111648485,136.99873978882545,227.5982496620718,278.02606964958653
14,0.6,1.2,1.326147621450747,1.438704835044013,0.9217649021177977,62.97503662725209,212.15782758644158,201.50895050690943,303.7389922812048
15,0.2,1.4,1.2645181475309928,1.085153102874756,1.1652900813544818,35.9333436728315,207.02368793763188,154.78549430819714,217.08194301140227
16,0.6,1.4,1.119164668798702,1.5944765938652887,0.7019009705784719,102.4434820623068,237.9676697208156,314.6013434033202,368.77935484374166
17,0.8,1.0,1.3060851436752072,1.7646790875328913,0.7401261526259593,82.38460735922783,183.69525086590687,220.8056702866179,325.1797265292862
18,0.4,1.4,1.1877419678111272,1.2290569676293268,0.9663847967129707,90.70716375098034,290.5051454260781,270.5116747218285,345.7029091785062
19,0.2,1.0,1.988983109269566,0.8948306772443984,2.222748012388862,27.02662507474549,262.6084016103495,78.84954484323593,234.14932359665056
20,0.2,0.8,2.1781493896738975,0.9497178660498725,2.293469953064478,15.485619646794833,222.53890306266308,59.61176218518439,210.17476736558726
21,0.2,0.6,2.061610964870211,1.1223078568776448,1.8369389042733664,13.247322374958458,177.2917724221591,62.069330550317545,197.04044680170853
22,0.2,0.4,2.7761820102699044,1.1069242954254153,2.508014343657492,7.599133837323661,170.16909784685967,32.02613666344018,187.36476401013337
23,0.0,0.4,3.261376955230739,0.6885006957583957,4.7369261575520625,6.450937622274864,268.3522490339131,21.431207994896816,184.07215905958188
24,0.6,0.4,1.9407014970919891,1.8086920314364963,1.0729861487533887,27.491467838355774,130.9569708994864,82.93854026163653,235.45610167783687
25,0.4,0.4,2.0836066976684835,1.5617452727423773,1.334152716217116,17.28783636767675,137.3392614206295,65.93084637480867,213.5272948734606
26,0.6,0.6,2.0311668985433107,1.4961833424038358,1.3575655074998672,24.97400960103958,155.4017932001729,73.97389916880694,228.3835506164452
27,0.0,1.4,2.6402875249306996,0.6740363703833686,3.9171291653431033,10.376787047395519,308.4905780303048,39.46637139955846,206.58905130325198
28,0.8,0.6,1.3301990307854896,1.881951755947537,0.7068188791671509,34.703581419191906,120.74820740489996,149.94740552633883,227.07639263774362
29,0.8,0.4,1.6959043896731316,2.0271592934926352,0.836591576753311,42.05774987436345,136.11205379135785,122.39175590989115,274.13295444616807
