,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd,target_error_rate
0,0.8,0.8,1.471351999794667,1.4595838917626276,1.008062645866712,41.370944232559005,115.1529166381875,94.50562576689764,167.54110640437148,31.516432231874028,88.88888888888889
1,0.0,0.6,2.808627463191972,0.6842137972513835,4.104897437723063,4.835918568292501,132.96617238055185,15.11150087357525,90.76235097692678,0.20006414051498742,0.0
2,0.4,0.8,1.5260627960874305,1.2727078331841362,1.1990676542545007,13.085369259129159,85.20690366131204,56.65074519266268,106.50272066264831,2.9268182343823015,0.0
3,0.4,1.0,1.3978510848781218,1.0193698671129017,1.3712893915896975,28.62208734772268,135.94450025330818,84.62730149978917,138.37307630286966,18.33971941654242,88.88888888888889
4,0.0,1.2,1.9166067997448752,0.5888000859154595,3.2551061822026695,7.986081356028897,187.6960655404783,38.98122858942386,108.18618570762213,4.645944625259349,11.11111111111111
5,0.0,1.0,1.5301295399555197,0.5111435784233941,2.9935415498618902,10.129172620797597,182.1026513865088,49.17301870297985,92.84444718342463,1.3465634676395988,11.11111111111111
6,0.6,0.8,1.374833249360687,1.4179581536187065,0.969586617102936,30.657219602733,103.77063282233267,91.11608671470194,145.18249030418522,19.401277736836057,88.88888888888889
7,0.2,1.2,1.3965476618130277,0.8369701173570421,1.6685752965984042,16.259189226134886,131.87931000252433,66.9804531578637,109.35953935780009,6.177989046920826,22.22222222222222
8,0.4,1.2,1.2364477224761743,1.0339737468295627,1.1958211959128078,36.53656418237209,149.01974317054533,113.1549714065246,153.45813298248166,27.69101977620144,88.88888888888889
9,0.4,0.6,1.5152780153892225,1.3194968965318465,1.148375581156701,13.442912405716031,79.24316943644504,55.812568352388226,103.72983959715481,6.718202358564784,0.0
10,0.6,1.0,1.4587783367643785,1.3888608084784613,1.0503416381678405,33.11596901289659,114.64099479123398,88.61851737650018,154.9720776192415,24.670219136968235,88.88888888888889
11,0.0,0.8,2.175402361419522,0.6740894847446017,3.2271714819045663,6.397465643280814,135.74972147283506,25.6592590927555,90.2466227277304,0.7007250501577851,0.0
12,0.8,1.2,1.0519343214429355,1.704145352045695,0.6172796940003794,51.872650614727846,109.4285815877738,168.07324141613054,180.39432312552606,42.37488585901409,77.77777777777779
13,0.6,1.2,1.0805847429382005,1.487696886062622,0.7263473850497225,41.63489402512682,107.50684081818491,142.99637281973727,159.42566951423396,28.567716839349576,77.77777777777779
14,0.8,1.0,1.0656840325842234,1.718557596206665,0.6201037631421168,48.952775088904176,97.18673735979773,152.59546400735346,166.81157579273815,36.74300321129332,88.88888888888889
15,0.2,1.0,1.3738745390349072,0.7896024121178521,1.7399573734202949,19.178018667193385,163.64670122955295,80.9195699648267,128.79616299619602,13.54386777183924,33.33333333333333
16,0.2,0.8,2.2370675201305756,0.966656419965956,2.3142323103894156,10.730761005407746,115.24941008362076,29.744652094496484,110.48288925557097,4.909500010253297,0.0
17,0.2,0.6,2.068892398605992,1.0118630197313094,2.0446368315301875,7.5811953443025,96.18582176353578,30.357963793338225,97.01325615237494,1.570775693907192,0.0
18,0.2,0.4,2.5349784367745833,1.1268349753485785,2.2496447946962292,4.606748384936648,85.2061939234715,19.7476291391223,94.70334945657456,0.3069080138599751,0.0
19,0.0,0.4,2.2966999323114385,0.6710953712463379,3.4223152635460403,8.871580417450495,128.0609961227215,21.552955073559907,84.34373704319678,0.5462811125800736,0.0
20,0.6,0.4,1.4718241767659164,1.7294857766893175,0.8510183758685591,12.056006527346057,54.81001206756183,52.76254480786004,93.58618570103292,2.9135126551732644,0.0
21,0.4,0.4,1.749957540646463,1.4380088912116158,1.2169309601222356,8.830306433705212,72.59495022732675,42.847402834167355,101.26926545084358,4.890190582713671,11.11111111111111
22,0.6,0.6,1.5678464932156164,1.5009895430670843,1.0445419160029046,16.391483540184634,79.53386346837914,60.420885386829376,118.70399278959934,6.7904154749223,33.33333333333333
23,0.8,0.6,1.1957838449652805,1.7373874187469482,0.6882655141060666,22.647527950334347,73.97265475337767,97.3364621105133,125.63144766458792,14.070803054158185,44.44444444444444
24,0.8,0.4,1.3978195211068432,2.2520334985521107,0.6206921531165219,20.89287094846505,59.125982325379,78.30102835166807,128.02454954503557,13.143351562948197,44.44444444444444
