time,time,ins_x,ins_y,d1,d2,d3,d4,click
0,0.011664390563964844,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
1,0.019829273223876953,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
2,0.03015899658203125,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
3,0.03774261474609375,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
4,0.04841446876525879,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
5,0.05807685852050781,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
6,0.06970572471618652,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
7,0.07789063453674316,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
8,0.088836669921875,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
9,0.09775733947753906,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
10,0.10909342765808105,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
11,0.1180272102355957,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
12,0.12849831581115723,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
13,0.13799357414245605,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
14,0.1477034091949463,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
15,0.15637707710266113,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
16,0.16753435134887695,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
17,0.17657160758972168,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
18,0.18578791618347168,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
19,0.19398713111877441,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
20,0.20387792587280273,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
21,0.21213436126708984,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
22,0.222442626953125,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
23,0.23184514045715332,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
24,0.24158549308776855,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
25,0.25075507164001465,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
26,0.2613089084625244,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
27,0.27036333084106445,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
28,0.2799501419067383,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
29,0.2896711826324463,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
30,0.29976511001586914,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
31,0.309373140335083,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
32,0.32081079483032227,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
33,0.3305497169494629,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
34,0.3411853313446045,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
35,0.3507847785949707,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
36,0.3617262840270996,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
37,0.3718132972717285,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
38,0.3824939727783203,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
39,0.39112401008605957,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
40,0.4015827178955078,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
41,0.4102027416229248,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
42,0.4209473133087158,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
43,0.42978501319885254,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
44,0.4411776065826416,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
45,0.4510922431945801,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
46,0.46235084533691406,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
47,0.47255682945251465,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
48,0.48235249519348145,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
49,0.49198150634765625,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
50,0.503591775894165,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
51,0.5130946636199951,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
52,0.523643970489502,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
53,0.5338547229766846,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
54,0.5436282157897949,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
55,0.5529861450195312,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
56,0.5633935928344727,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
57,0.572556734085083,1216.0,445.0,185.68786290667646,69.2600399153986,158.08526927314222,251.5654684021534,False
