index,time,ins_x,ins_y,d1,d2,d3,d4,click
0,0.01151442527771,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
1,0.0193288326263428,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
2,0.0245370864868164,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
3,0.0311441421508789,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
4,0.0366830825805664,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
5,0.0415537357330322,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
6,0.0481765270233154,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
7,0.0540823936462402,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
8,0.0588817596435547,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
9,0.064666748046875,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
10,0.0708799362182617,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
11,0.0759332180023193,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
12,0.0825057029724121,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
13,0.0882425308227539,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
14,0.0922732353210449,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
15,0.0986676216125488,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
16,0.104566097259521,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
17,0.109127044677734,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
18,0.114448308944702,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
19,0.119940996170044,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
20,0.124527215957642,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
21,0.130103826522827,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
22,0.135807752609253,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
23,0.13992190361023,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
24,0.145892858505249,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
25,0.15132212638855,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
26,0.155752420425415,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
27,0.161657333374023,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
28,0.167147397994995,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
29,0.171133279800415,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
30,0.177037715911865,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
31,0.183621883392334,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
32,0.187918663024902,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
33,0.194467306137085,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
34,0.202558040618896,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
35,0.206874847412109,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
36,0.212768077850342,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
37,0.218635082244873,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
38,0.223251581192017,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
39,0.2291100025177,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
40,0.234513282775879,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
41,0.239077091217041,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
42,0.24454402923584,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
43,0.252053022384644,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
44,0.260719537734985,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
45,0.265851020812988,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
46,0.271703243255615,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
47,0.276275157928467,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
48,0.281405448913574,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
49,0.286338329315186,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
50,0.290682315826416,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
51,0.296129941940308,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
52,0.301444530487061,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
53,0.306170463562012,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
54,0.311461210250854,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
55,0.316646337509155,1195.8,491.4,140.517159025891,203.880207614021,130.722695163267,270.660609391811,False
