,scale,latency,force_penalty,time_score
0,1.0,2.0,0.8880615381584002,59.0
1,1.0,5.0,0.7914771196016517,60.75
2,2.0,2.0,1.112160175912702,56.333333333333336
3,2.0,5.0,1.072588577179066,39.6
4,3.0,2.0,1.547078678318867,31.2
5,3.0,5.0,0.9297698789063518,43.25
6,4.0,2.0,1.3094345428934524,27.333333333333332
7,4.0,5.0,1.0285409625108517,47.166666666666664
