Overall Summary Statistics,User: yutong
Metric,Min,Max,Mean
Throughput,0.22428044006998762,4.009795570133828,1.1144423230793288
Movement Time,0.865767690870497,8.953480508592394,3.622449500693216
Target Error,4.682224037156018,22.717124302565445,12.111052730208058
OSD,1.405160993664099,69.02692512118303,14.531622975119376
