,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd
0,0.6,0.8,1.4467565402406697,1.9728042019738092,0.7333502933505394,76.68881456164124,244.26186834444894,269.99142914553744,465.9904012146931,57.759334053617295
1,0.15,0.8,2.5337019850353792,1.4198275142245824,1.7845139354262498,17.880763345865507,289.3670530763527,82.81280419115168,396.71941085578464,7.179242193933508
2,0.6,1.0,1.5309166463533201,2.084153731664022,0.7345507306368478,84.54490938532712,265.4716640212376,281.21938114750213,531.4185308581568,65.1392474483111
3,0.45,0.8,2.2217459006097773,2.0574203862084284,1.0798696831735883,29.80106856141933,213.34870795481206,116.33992627862166,426.33648342846277,28.471965678202068
4,0.75,0.4,1.8716659215672808,2.6906576421525745,0.6956165259545671,45.159674272574485,166.80219439275857,165.64931698021888,440.5525000024688,24.892034149145914
5,0.45,0.6,2.608063737170619,1.9532620906829834,1.3352349127190992,21.30288027392422,213.77699137598665,81.2318032503984,414.02620832198335,13.778534292322439
6,0.75,0.2,1.2002122556189423,2.664972358279758,0.4503657427777901,66.80498641386937,112.6693683831093,226.31634143932573,293.69857804814933,11.18699842599419
7,0.3,0.6,3.3549023359691894,1.7427590158250594,1.9250523483196023,19.153167660562488,234.9561786224948,43.98556940018242,406.03923726980037,3.8806089802488746
8,0.15,0.4,2.7730530025559186,1.4874364799923365,1.8643169236848391,14.985467516084888,252.43674707385313,64.12826811618574,374.2223715234748,2.8013427356378253
9,0.15,1.0,2.431434874400273,1.1357790099249945,2.1407640510638086,20.395971253908847,360.18922822280206,90.2862820714256,396.7447109424745,13.735367306146467
10,0.6,0.6,2.1006342414896952,2.029882722430759,1.0348549787025194,50.12289618773363,230.252773124067,141.78605072581507,466.3313388298992,32.00922007172335
11,0.3,0.8,2.4507641273883483,1.6713064776526556,1.4663762512489262,32.828924037411404,263.83024335746427,97.79292233184297,436.846450824957,13.212268039564037
12,0.45,1.0,1.4565046608530225,1.690756665335761,0.8614513789681146,103.0437436078833,347.0841413377522,320.0893590025445,558.3723350247051,79.41529634719029
13,0.75,1.0,1.1790095320871496,2.4986973603566494,0.47184967287069324,141.04802104189514,262.6039487189863,472.99891094720357,597.9712606443121,116.30258155112489
14,0.0,0.6,3.953693315686654,0.9994707902272543,3.9557867566971963,6.632626197585311,387.0683267255283,26.449379125200892,383.37308806405076,0.524284669782254
15,0.3,0.2,2.9497546948974556,4.233084652158949,0.6968333821042364,12.211879423930936,97.6782065803294,56.26153559456665,378.4250364745311,7.103785454446077
16,0.45,0.4,1.6752058190899115,2.4215880235036216,0.6917798580231566,30.823730200932673,160.90321449773322,174.1576095911866,382.040688456857,21.855427955834372
17,0.75,0.8,1.5231409672825176,2.2232307857937283,0.6851024990366587,153.41845636149688,307.0340208119138,358.5236121972934,671.9310349264657,125.86197741802744
18,0.3,0.4,2.966052923372756,2.0547158188290067,1.4435343789113986,16.045833639582256,204.07448534266075,60.10948680477454,409.5833304134347,8.551288508455132
19,0.0,1.0,3.4824092365070913,0.8243126074473063,4.224622073040054,11.288637124770492,495.91187416745043,39.8540703616105,405.5788597723383,6.884808399070137
20,0.0,0.2,1.5223146157667649,1.5533964633941648,0.9799910400468621,68.4799706606234,171.376347940623,139.61402702949434,261.4294124338835,5.253449970796013
21,0.45,0.2,1.7866571358793533,4.031659523646037,0.4431567510600665,35.25915649946968,112.37831444516117,136.29087594983181,333.93245396756396,23.952729540410967
22,0.0,0.4,4.272389804922661,1.3613831202189128,3.138271469265502,11.477880938147457,273.31019103216863,20.22059611082995,370.5406078835394,0.30315052836819817
23,0.6,0.4,2.376332472763187,2.122175931930542,1.1197622388457864,23.444765953447664,193.06065742507133,96.63297775801233,405.10008019212006,12.68073756690504
24,0.15,0.6,3.281870522087193,1.3479617436726887,2.4346911457185203,11.120413728526664,301.28163416010295,45.97076933758278,401.1483497066836,7.794199915716555
25,0.15,0.2,3.892830512353054,4.209361897574531,0.9248030003303198,10.091586433706345,107.6387538247103,26.96126904970369,373.53556062072573,11.51255833113599
26,0.0,0.8,4.391134559273982,1.0306458473205566,4.260565906989221,6.296085197320152,374.51606870355215,19.190871788051314,383.48714527368026,0.34073776340133344
27,0.6,0.2,0.6599006571721051,2.3096661037868924,0.28571257814717993,105.28911831830727,93.90941893715114,370.7578684141692,215.02985881332557,53.89311123607693
28,0.75,0.6,2.153965574706513,2.6906634171803794,0.8005332666111442,45.340223098074794,172.78819472373328,131.23123556936102,452.81262825232994,31.744041799617364
29,0.3,1.0,1.9206239601728818,1.3313939836290147,1.442566200380287,56.804475646727504,362.9300694869034,171.79463642526466,478.59711256336516,37.48087405830759
