,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd,target_error_rate,avg_translation_efficiency,num_clutches
0,0.0,1.0,2.7143049657735108,0.6213901307847765,4.368117276573922,18.014174809865168,410.4133043520365,44.32378654491792,246.5630487758716,18.91891763516186,55.55555555555556,0.8784125713958585,0
1,0.5,0.7,1.3998488874825943,2.0703928735521107,0.6761271763271266,26.979467411564663,107.9263023944341,133.60100310385963,218.93722993959724,37.984755749131125,55.55555555555556,0.7289516714859987,0
2,0.0,0.2,3.822627013354241,1.0295175711313884,3.713027461156748,5.032744366833965,204.71130393936272,15.832500634247301,208.18136858755133,0.33056796428846913,0.0,0.9933357583931333,0
3,0.75,1.0,0.842072267642704,2.499595536126031,0.3368834099247032,44.813422795055715,110.7957973523058,278.07525082915413,220.40889325458144,52.2623423847737,44.44444444444444,0.7020645834358556,0
4,0.75,0.1,2.0493907398883535,5.197514110141331,0.39430210220874734,14.808118271922435,43.36288013842167,67.29987346975105,211.27525100934753,31.788341347629384,22.22222222222222,0.7772030395003798,7
5,0.5,0.2,1.9622274453495496,1.7738634480370417,1.106188555562691,24.981293924365573,147.06102977343832,87.66958837599671,253.94647741020466,18.47943612946348,55.55555555555556,0.8838895977525203,0
6,0.25,0.7,3.1536960951325375,1.7325129244062634,1.8203016270215227,6.1837880817008815,127.1703839306656,27.518056025612026,217.37409865307666,12.538616565361451,0.0,0.7950874971272697,0
7,0.0,0.7,3.164970929134666,0.6729109817081028,4.703402106918766,7.379239688283038,344.3974468391132,28.493516575224362,227.06904751105583,6.748836370292815,0.0,0.9099608189472258,0
8,0.25,0.4,2.1380731393935997,1.3754604127671983,1.5544417851271712,17.619339092564047,181.26225908762495,70.60795117467619,240.18972123314,16.452741393446342,33.33333333333333,0.8712589263899254,0
9,0.25,0.15,2.8626554517914493,2.421934472190009,1.181970645639691,7.6527106775755165,96.80019633074363,34.956917513569024,219.30322611619854,6.931547768594214,0.0,0.8257455027023046,6
10,0.5,0.1,2.4266665998836148,3.8588966263665094,0.6288498591289124,10.355539465736676,56.28918676167586,48.493835955775005,212.2331445271976,4.465924171517485,11.11111111111111,0.9199883296558785,8
11,0.75,0.15,1.585275958621923,2.6492769718170166,0.5983806055335374,22.819342233253224,93.02792230917392,106.90192071790379,213.87352953611034,13.389723700741818,55.55555555555556,0.9479974042883441,0
12,0.25,0.1,2.6790254484195763,3.3451534112294516,0.8008677388087108,8.959904855500415,72.7378479027194,40.556507568452766,219.17675377240212,18.394449567678755,0.0,0.817491003931955,12
13,0.5,0.15,2.3964283154531785,2.5833053588867188,0.9276597159562757,11.192422275850445,85.49335694318746,47.02974209575446,200.5809548459718,12.65091728133347,11.11111111111111,0.8828895556255765,4
14,0.0,0.15,2.8566911258684455,1.7250503698984783,1.6560044713573008,8.368683249760942,130.36063940245108,32.799238666055054,204.7827319458363,3.4374788341727984,11.11111111111111,0.9475664685380806,5
15,0.5,1.0,1.2823673440029304,2.1985155476464167,0.5832878213555264,31.505171436905123,102.88771020436793,142.1821248336547,203.6585231470946,70.05117489133616,77.77777777777779,0.6636609725379761,0
16,0.75,0.2,2.3723319055500904,3.7483698527018228,0.6328969655542702,10.69598400260546,68.89878525201351,52.126154295123506,217.77127526639325,31.556425569146136,11.11111111111111,0.7526019784298786,3
17,0.75,0.7,2.138570159286074,2.3649695449405246,0.9042696401149031,17.153082784698338,104.09693596356863,69.00554718991906,234.8434237265786,28.947895140368075,33.33333333333333,0.827327528273165,0
18,0.0,0.1,3.033807961014597,2.693175739712186,1.1264797600392813,5.852126080520299,85.33997740591191,30.19098761516381,217.0636905324926,5.6604571938544,0.0,0.9168398359823043,12
19,0.25,1.0,2.6731136074384123,1.542724847793579,1.7327222098363988,9.087390876400166,147.36790441305698,38.91000865665948,209.25966241622257,28.94539134870213,0.0,0.7923283595296233,0
20,0.25,0.2,2.4563643281699443,1.4949932098388672,1.6430605249603076,10.594871170459378,160.22386241074685,50.402948904314506,226.2245112709872,10.622272144251742,11.11111111111111,0.9046395685167514,0
21,0.75,0.4,1.794803423457914,2.599693324830797,0.6903904419475054,32.57929242466233,111.18856740041913,109.70644202936198,270.940019652641,32.00031875184604,66.66666666666666,0.8229659873103424,0
22,0.0,0.4,4.09584769623221,0.9875573582119412,4.147452967843913,3.192025344675928,218.97734166398018,13.377566440921187,215.3666545604363,0.8676438730448665,0.0,0.9772562859928802,0
23,0.5,0.4,1.970372707965498,1.7236063480377195,1.143168630243626,14.879669427501957,131.93950542506732,71.70512266647957,209.28526975224258,6.203254581949662,22.22222222222222,0.9123906674499516,0
