,latency,scale,effective_difficulty,avg_movement_time,throughput,avg_target_error,avg_movement_speed,effective_width,effective_distance,avg_osd,target_error_rate,avg_translation_efficiency
0,0.8,0.8,1.7870629355312142,3.088945150375366,0.5785350171446235,48.2758376591239,92.71540266764221,114.28092679795265,280.1157995912859,39.03854067871295,100.0,0.752965143070321
1,0.0,0.6,2.9754637309770655,0.7162852817111545,4.154020481712112,7.282771940986767,265.5769176641982,26.94048350730459,184.94891097100876,0.09047842620520934,0.0,1.0016480059293613
2,0.4,0.8,1.7807297807764249,1.7793688244289823,1.0007648534293498,21.76221395041005,124.48331189178232,89.74371871483413,218.61564413642665,12.487304806079248,44.44444444444444,0.8633832329718167
3,0.4,1.0,1.4639514579758683,1.8891944355434842,0.7749077757339033,22.6937997337217,127.15669398114571,129.4172562127398,227.59694287140513,16.373995294162928,22.22222222222222,0.8380018577331316
4,0.0,1.2,2.6566391151884297,0.6321406364440918,4.20260771421454,8.805429415055697,315.23534811754126,37.04411500799426,196.5421407086082,5.874045973016804,0.0,0.9255423869578563
5,0.0,1.0,2.4900817808130427,0.6711088021596273,3.7103995250844015,9.781551830050894,305.5649230772333,44.29004573753291,204.53576996683557,3.8722256337071275,11.11111111111111,0.9306272536908469
6,0.6,0.8,1.3795545165898206,2.933746682273017,0.470236413022874,53.020742867143355,102.69778184777614,173.16869671012617,277.39550024751287,59.46370909158869,100.0,0.6945082120819039
7,0.2,1.2,1.9583341367034577,1.2912342548370361,1.5166373795981851,14.96060231747891,164.15341051318674,71.9970059740604,207.79271371275377,23.864165835481586,22.22222222222222,0.7939820176528122
8,0.4,1.2,1.5618236224198259,1.7560235924190948,0.8894092477813812,37.40233102513051,147.06524967280117,129.0174886787921,251.8766962619786,27.693237169293088,66.66666666666666,0.761515757665509
9,0.4,0.6,2.2492954561125518,1.9808757040235732,1.1355056006511473,20.25738620742283,117.36279045857304,60.69390243555493,227.875621923045,12.876276228536817,55.55555555555556,0.8718862302299741
10,0.6,1.0,0.9072636630733659,2.584440734651354,0.351048352902454,64.98359855260087,111.7337489726567,283.88088974024936,248.5334380963945,80.69211530342079,100.0,0.6115265181792623
11,0.0,0.8,2.299447745828647,0.6052953667110867,3.7988854240250536,11.651488728422214,323.3333551226683,49.729977768899865,195.0754316164964,1.2975565520318544,0.0,0.9558103671304914
12,0.8,1.2,1.2081604896764413,3.4449804888831244,0.35070169296318177,39.57762145502318,67.69519795675855,174.97291920218137,229.2895129533954,32.79781545855526,88.88888888888889,0.7030910343803556
13,0.6,1.2,1.6042007625157302,2.4668574068281384,0.6503013745648137,36.30082035153278,101.62852846201258,119.83827115521811,244.50276043020307,27.283612516822107,100.0,0.7814108562490618
14,0.8,1.0,1.3790444611152743,3.145487176047431,0.4384199915410749,38.785165877785076,78.07581755713771,149.93402538812012,240.03844453264077,26.957390883904505,77.77777777777779,0.7464055546226313
15,0.2,1.0,2.413634989632619,1.2050576474931507,2.0029207686898958,15.188512183578062,182.55188936357342,49.86622838454936,215.82857004488972,14.681678078271277,22.22222222222222,0.8830021209041764
16,0.2,0.8,1.9591298446879226,1.2154649628533258,1.611835720948163,15.634095477203951,170.2319864719195,70.91374890875018,204.8183291726159,7.1291650087637475,33.33333333333333,0.9210495754569324
17,0.2,0.6,2.662222053419303,1.2982576423221166,2.050611501625782,11.506512376772477,164.0863121254855,39.58286825829979,210.97956280269133,7.405079161600414,11.11111111111111,0.9220419761926555
18,0.2,0.4,2.769375430419483,1.2424924638536243,2.228887104739605,8.811705254455871,171.02171097206082,35.67048391086996,207.53539844368282,5.5083342978426195,11.11111111111111,0.9407056419142322
19,0.0,0.4,2.6295123714191124,0.7974029117160373,3.2975956480523947,9.668669088724783,225.77361546620847,34.499823784812136,178.99088279782376,0.008429743574689104,11.11111111111111,1.0329692603606753
20,0.6,0.4,1.627063467662849,2.657255623075697,0.6123097279514155,29.346179606022353,90.47282678509276,113.14776760206202,236.34717722083144,23.62787953326706,77.77777777777779,0.8171175139000435
21,0.4,0.4,2.7348567317179064,2.5382354259490967,1.0774637780872076,8.437088227093094,81.9423326942053,36.04346609934364,203.89532041492464,5.099668245598593,11.11111111111111,0.9325396964870181
22,0.6,0.6,1.6019994628843868,2.3842732906341553,0.6719026166913509,28.16846979631926,103.8041092547406,117.0550253659686,238.2815846577922,19.882221882389345,55.55555555555556,0.8184005253884667
23,0.8,0.6,1.2720465139809651,2.833554294374254,0.44892258338105234,71.15601187961403,118.3849495110275,217.36343888751384,307.577752997739,68.40945117733006,100.0,0.6908885643720567
24,0.8,0.4,1.5511668366692781,3.435168875588311,0.45155475403043277,33.26796791644822,69.94386873179964,117.44220468657903,226.72694715271794,29.7450999016061,88.88888888888889,0.7162606375198857
