Overall Summary Statistics,User: jason
Metric,Min,Max,Mean
Throughput,0.3265103596114661,4.578795057936998,1.3740565330463308
Movement Time,0.6447980668809679,8.184226168526543,3.166381460333627
Target Error,4.69253029285286,46.42347096354479,12.71903982022815
OSD,0.010105212732205906,66.71124251185302,11.925974498781404
