time,ins_x,ins_y,click,clutch
0.000110626220703125,1026.4000000000003,616.0000000000005,True,True
0.006245851516723633,1026.4000000000003,616.0000000000005,False,True
0.01768779754638672,1026.4000000000003,616.0000000000005,False,True
0.028091907501220703,1026.4000000000003,616.0000000000005,False,True
0.0385289192199707,1026.4000000000003,616.0000000000005,False,True
0.05017399787902832,1026.4000000000003,616.0000000000005,False,True
0.06082296371459961,1026.4000000000003,616.0000000000005,False,True
0.07163453102111816,1026.4000000000003,616.0000000000005,False,True
0.08413529396057129,1026.4000000000003,616.0000000000005,False,True
0.09508156776428223,1026.4000000000003,616.0000000000005,False,True
0.10610818862915039,1026.4000000000003,616.0000000000005,False,True
0.11835694313049316,1026.4000000000003,616.0000000000005,False,True
0.12906837463378906,1026.4000000000003,616.0000000000005,False,True
0.13988614082336426,1026.4000000000003,616.0000000000005,False,True
0.15108895301818848,1026.4000000000003,616.0000000000005,False,True
0.16188406944274902,1026.4000000000003,616.0000000000005,False,True
0.1725752353668213,1026.2000000000003,615.6000000000005,False,True
0.18500351905822754,1025.2000000000003,614.6000000000005,False,True
0.19553732872009277,1025.2000000000003,614.6000000000005,False,True
0.20602011680603027,1022.8000000000002,612.8000000000005,False,True
0.21749162673950195,1021.6000000000001,612.2000000000005,False,True
0.22817707061767578,1019.2,610.6000000000005,False,True
0.2390451431274414,1017.0,609.2000000000005,False,True
0.2505927085876465,1015.2,608.0000000000005,False,True
0.2611420154571533,1011.4000000000001,605.2000000000005,False,True
0.2717561721801758,1009.0000000000002,603.4000000000005,False,True
0.2844855785369873,1005.0000000000002,600.4000000000005,False,True
0.2953057289123535,1002.4000000000001,598.4000000000005,False,True
0.3057417869567871,997.0000000000002,594.6000000000006,False,True
0.317596435546875,994.4000000000001,592.8000000000006,False,True
0.3282327651977539,990.4000000000001,589.8000000000006,False,True
0.3389015197753906,986.2,586.6000000000006,False,True
0.3496434688568115,983.6000000000001,584.6000000000006,False,True
0.3601541519165039,981.0,582.6000000000006,False,True
0.37097883224487305,976.8,580.0000000000006,False,True
0.38370394706726074,973.0,576.4000000000005,False,True
0.394146203994751,967.8,574.8000000000005,False,True
0.4046008586883545,963.2,573.0000000000006,False,True
0.4167158603668213,958.4000000000001,570.8000000000005,False,True
0.42742347717285156,956.0,569.4000000000005,False,True
0.43793797492980957,951.6000000000001,566.4000000000005,False,True
0.44999217987060547,948.8000000000002,564.4000000000005,False,True
0.4608194828033447,947.4000000000001,563.4000000000005,False,True
0.47161364555358887,946.0000000000002,562.2000000000005,False,True
0.48310256004333496,942.4000000000001,559.4000000000005,False,True
0.4938466548919678,940.2,557.6000000000006,False,True
0.5045483112335205,938.8000000000002,556.4000000000005,False,True
0.5161445140838623,937.4000000000001,555.2000000000005,False,True
0.526867151260376,935.2,553.4000000000005,False,True
0.5376360416412354,933.6000000000001,552.0000000000006,False,True
0.5494885444641113,932.6000000000001,551.0000000000006,False,True
0.5599575042724609,930.6000000000001,549.4000000000005,False,True
0.5707640647888184,929.6000000000001,548.4000000000005,False,True
0.5818288326263428,928.2,547.4000000000005,False,True
0.5928754806518555,927.6000000000001,546.8000000000005,False,True
0.6035563945770264,926.6000000000001,545.8000000000005,False,True
0.6144523620605469,926.4000000000001,545.6000000000005,False,True
0.6252312660217285,925.8,545.0000000000005,False,True
0.6360626220703125,925.2,544.4000000000004,False,True
0.6471600532531738,924.5999999999999,543.4000000000004,False,True
0.6577539443969727,924.0,542.6000000000005,False,True
0.6687526702880859,923.3999999999999,541.8000000000005,False,True
0.6792764663696289,922.8,540.8000000000005,False,True
0.6897439956665039,922.5999999999999,540.8000000000005,False,True
0.7005445957183838,922.5999999999999,540.6000000000005,False,True
0.7109489440917969,922.1999999999998,540.2000000000005,False,True
0.721348762512207,921.8,539.8000000000005,False,True
0.7319598197937012,921.8,539.6000000000005,False,True
0.7424149513244629,921.5999999999999,539.4000000000004,False,True
0.7529406547546387,921.1999999999998,539.0000000000005,False,True
0.7634904384613037,920.9999999999998,538.8000000000004,False,True
0.7738871574401855,920.7999999999997,538.4000000000004,False,True
0.784604549407959,920.5999999999997,538.2000000000004,False,True
0.7951633930206299,919.7999999999997,536.2000000000004,False,True
0.805842399597168,919.3999999999999,535.4000000000004,False,True
0.8168933391571045,918.9999999999998,535.0000000000005,False,True
0.8276286125183105,918.1999999999998,533.6000000000005,False,True
0.8383016586303711,917.8,532.8000000000005,False,True
0.8504617214202881,917.3999999999999,532.2000000000005,False,True
0.8609631061553955,916.8,531.6000000000005,False,True
0.8714790344238281,916.1999999999998,530.4000000000004,False,True
0.8841097354888916,915.5999999999999,529.0000000000005,False,True
0.895026683807373,915.3999999999999,528.2000000000005,False,True
0.9056718349456787,915.1999999999998,527.6000000000005,False,True
0.9169549942016602,914.9999999999998,526.8000000000005,False,True
0.9276514053344727,914.7999999999997,526.0000000000006,False,True
0.9383394718170166,914.7999999999997,525.4000000000005,False,True
0.949434757232666,914.7999999999997,525.0000000000006,False,True
0.9602227210998535,914.5999999999997,524.2000000000006,False,True
0.9712362289428711,914.5999999999997,523.6000000000006,False,True
0.9832160472869873,914.5999999999997,522.6000000000006,False,True
0.9940948486328125,914.5999999999997,521.8000000000006,False,True
1.0048630237579346,914.5999999999997,520.6000000000006,False,True
1.015791416168213,914.5999999999997,519.8000000000006,False,True
1.0264968872070312,914.5999999999997,518.8000000000006,False,True
1.0371575355529785,914.7999999999997,517.8000000000006,False,True
1.0480308532714844,915.1999999999996,515.0000000000007,False,True
1.0587892532348633,915.3999999999996,513.8000000000006,False,True
