Start Time: 9/10/2024 3:47:03 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 54315, 4379, -0.009606004, -0.01083696, -0.0009469986, -0.0005610008, -0.0006010002, -0.001288, 15:47:03.251
0x0, 54316, 4380, -0.01560901, -0.005885005, 0.007340908, -0.0003540004, -0.0009480007, -0.0005970001, 15:47:03.260
0x0, 54317, 4381, -0.01559201, -0.01387501, 0.006994724, -0.0001190007, -0.0004440006, -0.000719998, 15:47:03.268
0x0, 54318, 4382, -0.01752301, -0.006049037, 0.004064083, 0.0001349999, -4.900061E-05, -0.0009579994, 15:47:03.276
0x0, 54319, 4383, -0.002182007, -0.009093046, 0.01695585, -0.000155, 0.0001379997, -0.0004229993, 15:47:03.283
0x0, 54320, 4384, -0.006831005, 0.006235957, 0.0115118, -0.0005170004, 0.0002189996, -0.000581, 15:47:03.292
0x0, 54321, 4385, 0.002561986, 0.007006049, 0.01468086, -0.0005310001, -0.0003570002, -0.0011, 15:47:03.299
0x0, 54322, 4386, -0.02323501, 0.007609963, -0.009027004, -0.001017001, -0.0004180009, -0.0005879998, 15:47:03.308
0x0, 54323, 4387, -0.03321101, -0.01270902, -0.006556034, -0.0001950003, -0.0006560003, -0.0009829998, 15:47:03.316
0x0, 54324, 4388, -0.02606501, 0.007366061, 0.0009241104, 0.0004579993, -0.0003420003, 0.0001350008, 15:47:03.323
0x0, 54325, 4389, -0.003835008, -0.01284003, 0.02328205, -0.0001429999, -0.0002380004, -6.200001E-05, 15:47:03.332
0x0, 54326, 4390, 0.003566995, 0.009417057, -0.001401901, -3.800076E-05, 0.000155, -0.0001799986, 15:47:03.340
0x0, 54327, 4391, -0.02348101, -0.005591035, 0.0128417, -0.0006910004, -0.0003150003, -0.0004479997, 15:47:03.348
0x0, 54328, 4392, -0.010203, 0.01828706, 0.01367998, -0.0005240003, -0.0008070003, -0.0005949996, 15:47:03.355
0x0, 54329, 4393, -0.007495001, 0.008136988, -0.008306026, -0.0003350005, -0.0006090002, -0.0002949983, 15:47:03.363
0x0, 54330, 4394, -0.02313401, -0.004943013, 0.01762676, 8.899998E-05, -0.0004440006, -0.0001769997, 15:47:03.371
0x0, 54331, 4395, -0.011988, -0.009727955, 0.0258069, -0.0001330003, -0.0002960004, -0.0009279996, 15:47:03.379
0x0, 54332, 4396, 0.004061997, -0.01108801, -0.0106411, -1.400057E-05, 9.993091E-07, -0.0004019998, 15:47:03.386
0x0, 54333, 4397, -0.006840006, -0.007380009, 0.01148796, -0.0003130008, 0.000124, -0.0007550009, 15:47:03.395
0x0, 54334, 4398, 0.002138987, 0.003404975, 0.01147795, -0.0003460003, -0.0002210001, -0.000994999, 15:47:03.403
0x0, 54335, 4399, -0.01765901, 0.002469063, -0.002739906, -0.0008880002, -0.0006240001, -0.0006220005, 15:47:03.413
0x0, 54336, 4400, -0.008958012, -0.001783967, -0.005959988, -0.0001530005, -2.600066E-05, -0.0006509982, 15:47:03.419
0x0, 54337, 4401, -0.01278201, -0.01061702, 0.0107708, 0.0002919994, -0.00079, -0.0006360002, 15:47:03.427
0x0, 54338, 4402, -0.006411001, -0.00869, 0.01023006, 0.0001839995, -0.0002540005, -0.0003740005, 15:47:03.435
0x0, 54339, 4403, -0.013188, -0.001883984, -0.001789093, -0.0001980001, 0.0001599994, -0.0008869991, 15:47:03.443
0x0, 54340, 4404, 0.003544986, -0.002691984, 0.01806402, -0.0002910001, -0.0002290001, -0.0007589981, 15:47:03.452
0x0, 54341, 4405, -0.005413011, 0.006255984, -0.01184511, -0.00055, -0.00019, -0.0003319979, 15:47:03.459
0x0, 54342, 4406, -0.008854002, 0.01285601, -0.01125288, -0.0008500004, -0.0003230004, -0.0008569993, 15:47:03.467
0x0, 54343, 4407, -0.017387, -0.01585305, 0.002846718, -0.0007239999, -0.0004050005, -0.0002779998, 15:47:03.474
0x0, 54344, 4408, -0.021963, -0.017542, 0.002305984, 0.0001809997, -0.000395, -0.001274001, 15:47:03.484
0x0, 54345, 4409, 3.999472E-05, 0.004721045, 0.0166707, -7.000752E-06, -0.0002490003, -0.0006709993, 15:47:03.492
0x0, 54346, 4410, -0.01381801, -0.000862956, 0.00236702, 0.0002599992, 3.399979E-05, -0.001107998, 15:47:03.500
0x0, 54347, 4411, -0.01849201, 0.02068698, -0.009072304, -0.0005990006, 0.0002079997, -0.0007379986, 15:47:03.508
0x0, 54348, 4412, -0.015706, 0.009791017, 0.01140594, -0.0007880004, -9.300001E-05, -0.0004389994, 15:47:03.515
0x0, 54349, 4413, -0.029356, 0.001734018, 0.006309032, -0.0009090006, -0.0001700008, -0.0007309988, 15:47:03.523
0x0, 54350, 4414, -0.009910002, -0.007951021, 0.01486874, -0.000581, -0.0007220004, -0.0003679991, 15:47:03.532
0x0, 54351, 4415, -0.01611601, 0.013044, 0.01577282, 0.0004929993, -0.0007110005, -0.0006329976, 15:47:03.539
0x0, 54352, 4416, -0.012609, -0.01685095, 0.005894661, -4.400034E-05, -0.000178, -0.0003420003, 15:47:03.546
0x0, 54353, 4417, -0.007634014, 0.02045798, 0.0007886887, 0.0002989992, 0.00019, -0.0001650006, 15:47:03.555
0x0, 54354, 4418, -0.001626, 0.003497958, 0.02869177, -0.0008350005, -0.0001810007, -0.0003659986, 15:47:03.563
0x0, 54355, 4419, -0.008584008, -0.01376903, -0.003908157, -0.0007910002, -0.0001330003, -0.0004489981, 15:47:03.572
0x0, 54356, 4420, -0.020318, -0.008980036, -0.008773327, -0.0008510007, -0.00043, -0.0002829991, 15:47:03.579
0x0, 54357, 4421, -0.024223, -0.01140499, -0.01711988, -0.0005370006, -0.0007840004, -0.0003970005, 15:47:03.587
0x0, 54358, 4422, -0.008097008, -0.006881952, -0.01121998, 0.0001639994, -0.0006420007, -0.001059998, 15:47:03.595
0x0, 54359, 4423, 0.003966987, -0.01560295, 0.008511066, 0.0001559993, 7.599965E-05, -0.000909999, 15:47:03.603
0x0, 54360, 4424, -0.01492801, -0.002563953, 0.002139091, -0.0004900005, 6.099977E-05, -0.0004989989, 15:47:03.612
0x0, 54361, 4425, 0.002097994, 0.02047002, 0.003645897, -0.0001230007, -0.0001970008, -0.0006019995, 15:47:03.620
0x0, 54362, 4426, 0.006745994, 0.01261401, 0.0007247925, -0.0008090008, -0.0001890007, -0.0007769987, 15:47:03.627
0x0, 54363, 4427, -0.02666901, -0.005282998, -0.01333714, -0.0002110004, -0.000674, -0.000843998, 15:47:03.635
0x0, 54364, 4428, -0.007241011, -0.006299019, 0.0004887581, 0.0001439992, -0.0006670002, -0.0004879981, 15:47:03.643
0x0, 54365, 4429, -0.014108, -0.02112305, -0.008123875, -0.0003559999, -0.0001080008, -0.0008630008, 15:47:03.652
0x0, 54366, 4430, 0.008089989, -0.001302958, 0.001904011, -0.0004690001, -0.0001350008, 8.299947E-05, 15:47:03.660
0x0, 54367, 4431, 0.0003179908, -0.001296997, 0.005039692, -0.0004799999, 9.199977E-05, -0.0005600005, 15:47:03.667
0x0, 54368, 4432, -0.01174301, 0.01124799, -0.003412247, -0.0002740007, -0.0001000008, -0.0001449995, 15:47:03.675
0x0, 54369, 4433, -0.01406501, 0.0006660223, -0.005493164, -0.0003240006, -0.000585, -0.0002469979, 15:47:03.683
0x0, 54370, 4434, -0.01394001, -0.007130027, 0.006197929, -0.0002430007, -0.0002110004, -0.0006869994, 15:47:03.692
0x0, 54371, 4435, -0.01185, -0.006083965, 0.01076984, -8.000061E-06, -0.0004320005, -0.0004539974, 15:47:03.700
0x0, 54372, 4436, -0.01804401, -0.01168299, 0.0154171, 0.0001439992, -0.0001650006, -0.0006139986, 15:47:03.707
0x0, 54373, 4437, 0.003491998, -0.009616971, 0.02071476, 0.0002229996, -9.000301E-06, -0.0001069978, 15:47:03.715
0x0, 54374, 4438, -0.005775005, 0.001824975, 0.007166862, -0.001027, -4.00003E-05, -0.0004500002, 15:47:03.723
0x0, 54375, 4439, -0.021383, 0.003556967, -0.01022005, -0.0008120006, 0.0003419993, -0.0004689991, 15:47:03.731
0x0, 54376, 4440, -0.013007, -0.004873991, -0.001537323, -0.0003880002, -0.0004900005, -0.0004279986, 15:47:03.740
0x0, 54377, 4441, -0.01322901, -0.012532, 0.002912998, -0.0001660008, -0.0004600007, -0.0006269999, 15:47:03.746
0x0, 54378, 4442, -0.01236601, -0.02732599, 0.008073807, -0.0001010001, -6.700028E-05, -0.001281999, 15:47:03.755
0x0, 54379, 4443, 0.005394995, -0.01362205, 0.0160799, 0.0001329994, -8.000061E-06, -0.0009219982, 15:47:03.763
0x0, 54380, 4444, 0.006531999, -0.002447009, 0.01113892, 6.49998E-05, -0.0002760002, -0.0003749989, 15:47:03.772
0x0, 54381, 4445, -0.001832008, -0.009750962, 0.000784874, -0.001002001, -0.0002080007, -0.001201, 15:47:03.780
0x0, 54382, 4446, -0.011986, 0.01159501, 0.01221371, -0.0006870003, -0.0007930007, -0.0007940009, 15:47:03.787
0x0, 54383, 4447, -0.02087401, -0.007094979, -0.005820274, -0.0003980007, -0.0005310001, -0.0005210005, 15:47:03.794
0x0, 54384, 4448, -0.031276, 0.006119967, 0.002082825, 0.0002779998, -0.0003490001, -0.0002689995, 15:47:03.803
0x0, 54385, 4449, -0.014374, -0.02912998, 0.01421785, 0.0001889998, -0.000302, -0.0005729981, 15:47:03.811
0x0, 54386, 4450, -0.00597401, 0.003983974, -0.002986908, 0.0001379997, 0.000116, -0.0004799999, 15:47:03.820
0x0, 54387, 4451, -0.01608801, 0.01323295, 0.02122402, -0.0002680002, 6.200001E-05, -0.0004229993, 15:47:03.827
0x0, 54388, 4452, -0.008030012, 0.003082037, 0.001002789, -0.0007640002, -0.0004240004, -0.001054, 15:47:03.835
0x0, 54389, 4453, -0.014661, -0.0002670288, -0.001760006, -0.0002160007, -0.0006220005, -0.0003939979, 15:47:03.843
0x0, 54390, 4454, -0.00451301, -0.003906965, 0.00660181, -3.900006E-05, -0.0007910002, -0.0003319979, 15:47:03.852
0x0, 54391, 4455, -0.007281005, -0.02970803, -0.004929066, -9.500049E-05, -0.0005170004, -0.0006279983, 15:47:03.860
0x0, 54392, 4456, -0.01450901, -0.006152987, 0.006652832, 0.0004089996, -0.0002940008, -0.0005600005, 15:47:03.868
0x0, 54393, 4457, -0.0006100088, 0.0005910397, 0.001278877, -9.700004E-05, 5.99958E-06, -0.0004130006, 15:47:03.875
0x0, 54394, 4458, 0.0008559972, 0.001749992, -0.005367279, -0.0004110001, 0.0001519993, -0.0008979999, 15:47:03.883
0x0, 54395, 4459, -0.02334401, 0.01031899, 0.009335041, -0.0005320003, -0.0001930008, -0.0008649975, 15:47:03.891
0x0, 54396, 4460, -0.010873, 0.006832004, 0.0070467, -0.0003890004, -0.0004700003, -0.0008269995, 15:47:03.900
0x0, 54397, 4461, -0.017992, -0.006647944, -0.008883953, -0.0004160004, -0.0006010002, -9.899959E-05, 15:47:03.908
0x0, 54398, 4462, -0.005894005, -0.0007029772, 0.002032757, 0.0003799992, -0.0004020007, -0.0009599999, 15:47:03.914
0x0, 54399, 4463, 0.009735987, 0.01345897, 0.01493979, 0.0001769997, -0.0004780004, -0.0003689975, 15:47:03.923
0x0, 54400, 4464, -0.005022004, 0.003492951, 0.009570122, -0.0004440006, 0.0002509998, -0.0004209988, 15:47:03.931
0x0, 54401, 4465, 0.0006839931, 0.001757979, 0.007525921, -0.0002260003, -0.0002220003, -0.0009039976, 15:47:03.940
0x0, 54402, 4466, -0.005761012, -0.006675005, 0.007149696, -0.0008590007, -0.0004330007, -0.0006540008, 15:47:03.947
0x0, 54403, 4467, -0.01237801, 0.0005700588, 0.004504681, -0.0003450001, -0.000701, -0.001236998, 15:47:03.954
0x0, 54404, 4468, -0.03279601, -0.002905011, 0.006651878, -0.0004470004, -0.0004090006, -0.0002340004, 15:47:03.963
0x0, 54405, 4469, -0.01274301, -0.005074024, 0.01018381, 0.0004909998, -0.0004210006, -0.0003179982, 15:47:03.972
0x0, 54406, 4470, -0.007800013, 0.004616022, 0.01129675, 0.0004139999, 0.0002329992, -0.0005659983, 15:47:03.980
0x0, 54407, 4471, -0.00307101, -0.01799595, -0.000483036, -0.0002450002, 0.0002319999, -0.0003589988, 15:47:03.988
0x0, 54408, 4472, 0.01650999, 0.005617976, 0.01775599, -0.0002490003, -0.0002390007, -0.0004450008, 15:47:03.995
0x0, 54409, 4473, -0.018618, 0.00780201, 0.01124668, -0.000612, -0.0003530001, -0.0001829974, 15:47:04.003
0x0, 54410, 4474, -0.015531, -0.005357027, -0.009459019, -0.0003260002, -0.0007310007, -0.000209, 15:47:04.011
0x0, 54411, 4475, -0.01621601, -0.005300045, 0.00428009, -0.0002120007, -0.0005570007, -0.0006729998, 15:47:04.020
0x0, 54412, 4476, -0.012527, -0.015908, 0.004818916, 0.0003009997, -0.0008800002, -0.0001330003, 15:47:04.028
