Start Time: 9/10/2024 3:40:30 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 5270, 20870, -0.003813997, 0.008428931, 0.0161581, -0.0008040005, -5.900022E-05, -0.0002069995, 15:40:30.899
0x0, 5271, 20871, -0.005452007, -0.00138402, 0.01224518, -0.0008220002, -0.0003540004, 0.0002220012, 15:40:30.907
0x0, 5272, 20872, -0.012839, -0.02797306, 0.01448393, -0.0006130002, -0.0004329998, 0.000200998, 15:40:30.916
0x0, 5273, 20873, -0.010285, -0.02267599, 0.009977818, -6.300025E-05, -0.0008070003, -0.0004689991, 15:40:30.921
0x0, 5274, 20874, 0.006130993, -0.02260101, 0.02619123, 2.400018E-05, -0.0003859997, -0.0003040023, 15:40:30.932
0x0, 5275, 20875, 0.001569003, -0.008460999, 0.007790089, -0.0001750002, -0.0002490003, 9.199977E-05, 15:40:30.940
0x0, 5276, 20876, -0.0001460016, -0.009950995, 0.01207495, -0.0007880004, -0.0001320001, 0.0003019981, 15:40:30.947
0x0, 5277, 20877, -0.005452007, -0.01873803, 0.0108161, -0.0009949999, -5.900022E-05, -0.0002849996, 15:40:30.955
0x0, 5278, 20878, -0.017488, -0.00643599, -0.001375198, -0.001110001, -0.000279, -0.0001810007, 15:40:30.963
0x0, 5279, 20879, 0.02025799, -0.02655602, 0.01410389, -0.0004630005, -0.001165, 0.0003179982, 15:40:30.972
0x0, 5280, 20880, 0.005413994, -0.03917408, 0.01674509, -0.0002560001, -0.000705, 3.999844E-05, 15:40:30.979
0x0, 5281, 20881, 0.00890699, -0.01638007, 0.02634716, -9.199977E-05, -0.0003669998, -0.0001819991, 15:40:30.987
0x0, 5282, 20882, -0.0006169975, -0.008990049, 0.02737713, -0.0001880005, 0.0002060002, -9.800121E-05, 15:40:30.995
0x0, 5283, 20883, 0.002653003, -0.00675106, 0.01433992, -0.0002899999, 0.0001480002, 0.0003429987, 15:40:31.003
0x0, 5284, 20884, 0.007857993, -0.01077104, 0.01558495, -0.001188, -0.0001419997, -0.0008799993, 15:40:31.012
0x0, 5285, 20885, -0.007183, -0.002924085, 0.006185055, -0.0007830001, -0.0007210001, -0.0003390014, 15:40:31.020
0x0, 5286, 20886, -0.01258901, -0.01195908, 0.01563883, -9.199977E-05, -0.0001800004, -0.0001039989, 15:40:31.027
0x0, 5287, 20887, -0.008716002, -0.02996409, 0.04280281, 2.699997E-05, -1.799967E-05, -8.200109E-05, 15:40:31.035
0x0, 5288, 20888, -6.300211E-05, -0.009205103, 0.01196289, 0.000209, -0.0004050005, -0.0008499995, 15:40:31.043
0x0, 5289, 20889, -3.500283E-05, -0.010975, 0.0238409, -0.0003620004, -0.0001090001, -0.0001250021, 15:40:31.052
0x0, 5290, 20890, 0.007460997, 0.001619935, 0.02253199, -0.0009880001, 0.0001440002, -0.000481002, 15:40:31.059
0x0, 5291, 20891, -0.004069, -0.0214591, 0.00748682, -0.001321, -0.0004440006, -3.200024E-05, 15:40:31.067
0x0, 5292, 20892, -0.0007850081, -0.0226481, 0.009275913, -0.0008690003, -0.0008030003, -0.0006170012, 15:40:31.075
0x0, 5293, 20893, -0.003995001, -0.01673603, 0.01512384, -0.000213, -0.0008580005, 0.0003979988, 15:40:31.083
0x0, 5294, 20894, -0.002927005, -0.0325911, 0.004126072, -0.0003559999, -0.0004440006, 0.0002180003, 15:40:31.091
0x0, 5295, 20895, 0.003755003, -0.01265204, 0.02830982, 0.0006250003, -0.0002960004, -0.0002030022, 15:40:31.099
0x0, 5296, 20896, 0.00835, -0.004365087, 0.006238937, -0.0002699997, -4.199985E-05, 0.0001659989, 15:40:31.107
0x0, 5297, 20897, 0.01251599, 0.003484964, 0.007789135, -0.0009240005, -0.00031, 3.900006E-05, 15:40:31.115
0x0, 5298, 20898, -0.0004670024, 0.006744981, 0.01834726, -0.0008970005, -0.001089, -0.0001690015, 15:40:31.123
0x0, 5299, 20899, -0.021744, -0.01816905, 0.01456404, -0.0005930001, -0.0006050002, 0.0002469979, 15:40:31.131
0x0, 5300, 20900, -0.002348006, -0.01121306, 0.01175213, -0.0001699999, -0.0004460001, -9.199977E-05, 15:40:31.140
0x0, 5301, 20901, 0.01251, -0.0131551, 0.02271223, -0.0002030004, -0.0001400001, -0.0001020022, 15:40:31.148
0x0, 5302, 20902, 0.008745, -0.0153091, 0.02316093, -0.0006349999, 6.700028E-05, -0.0002969988, 15:40:31.155
