,latency,scale,target_error,osd_metric,speed_metric,combo_metric
0,0.45,1.0,21.37387384646667,57.477401655085394,44.95538820858907,-33.895887292962996
1,0.3,1.0,27.60432311481442,55.04286063467623,57.21091057094556,-25.436273178545093
2,0.45,0.4,16.66174308320727,0.39356755962711665,40.510999962561854,23.45568931972747
3,0.0,0.6,11.376224914088127,5.281216219773075,73.4588047341373,56.801363600276105
4,0.0,1.0,7.987612218805536,2.317829780886564e-13,52.66009541224432,44.67248319343855
5,0.0,0.2,9.801994757493471,0.6403058966450376,30.268905198681647,19.826604544543137
6,0.15,0.4,11.037425041293698,13.944185080311014,60.0384351551067,35.05682503350199
7,0.75,1.0,31.088565755219815,221.15450337855594,37.00011015010275,-215.242958983673
8,0.6,0.8,32.637271003204226,263.78461640786225,43.74332403321238,-252.67856337785406
9,0.75,0.6,31.73958278800066,104.19806219159824,28.501915056652557,-107.43572992294634
10,0.3,0.4,9.910193681082472,2.8889508827700503,48.794559900087236,35.995415336234714
11,0.3,0.6,12.079446325970759,0.18427935844182927,62.86010474443322,50.59637906002064
12,0.15,0.6,13.96689635005356,0.6522896663379737,59.08861857861005,44.46943256221852
13,0.6,1.0,22.78685774996918,255.02504445196308,55.81503784537623,-221.99686435655602
14,0.0,0.8,14.932602496498607,1.541829724418821,106.79351410371342,90.31908188279598
15,0.3,0.8,11.746400815400195,5.634252218134554,45.776511733794365,28.395858700259616
16,0.15,0.2,7.258940191423496,1.4658804480067416,30.123634920937853,21.398814281507615
17,0.15,1.0,24.818485608121875,22.01162776832991,86.8325621426894,40.00244876623761
18,0.3,0.2,10.276742276022661,1.2317212346093966,39.2330240386458,27.724560528013743
19,0.75,0.8,34.154106486786745,133.8804722486297,32.03594578537144,-135.99863295004502
20,0.45,0.8,39.68316057382023,80.90579353529385,39.18209371060317,-81.40686039851091
21,0.75,0.2,9.046200906725955,43.20094127529273,17.05569053253952,-35.19145164947916
22,0.15,0.8,13.074264855782994,7.32814005999143,57.58740080990202,37.184995894127596
23,0.6,0.2,10.928155234960316,2.101521552057322,15.892412217087122,2.862735430069483
24,0.45,0.2,12.078731066682701,10.925832131396913,28.33434283684277,5.329779638763153
25,0.75,0.4,14.549952004179735,48.92645498521025,31.68849390256443,-31.787913086825554
26,0.0,0.4,12.922764649191489,1.6234140654895681,68.15615369305925,53.6099749783782
27,0.6,0.4,13.199004523467066,12.245180532302424,28.760144807769223,3.315959751999735
28,0.6,0.6,19.94432332791277,44.3824453887587,35.76795865195417,-28.5588100647173
29,0.45,0.6,31.225666801670425,35.054878230590994,78.424707272276,12.14416224001458
