,time
0,0.00015306472778320312
1,0.011134862899780273
2,0.021751880645751953
3,0.03249955177307129
4,0.04353022575378418
5,0.05469822883605957
6,0.06596636772155762
7,0.07682943344116211
8,0.08775472640991211
9,0.09887909889221191
10,0.11018800735473633
11,0.12101078033447266
12,0.1321086883544922
13,0.14281940460205078
14,0.15388989448547363
15,0.16465258598327637
16,0.1755056381225586
17,0.18687009811401367
18,0.19803905487060547
19,0.20908021926879883
20,0.22011017799377441
21,0.2313070297241211
22,0.24268412590026855
23,0.2536494731903076
24,0.26496291160583496
25,0.275923490524292
26,0.2869222164154053
27,0.29828596115112305
28,0.3091881275177002
29,0.32022619247436523
30,0.3312978744506836
31,0.3425710201263428
32,0.353593111038208
33,0.36441969871520996
34,0.37560439109802246
35,0.3869185447692871
36,0.3978748321533203
37,0.4089474678039551
38,0.41979217529296875
39,0.4309251308441162
40,0.4416797161102295
41,0.45316481590270996
42,0.46422481536865234
43,0.47554826736450195
44,0.48648571968078613
45,0.4974355697631836
46,0.5083775520324707
47,0.5192766189575195
48,0.529965877532959
49,0.541205644607544
50,0.5519726276397705
51,0.5631651878356934
52,0.5747389793395996
53,0.5858232975006104
54,0.5962891578674316
55,0.6071803569793701
56,0.6181654930114746
57,0.6289815902709961
58,0.6394600868225098
59,0.650244951248169
60,0.6611924171447754
61,0.6721446514129639
62,0.6834588050842285
63,0.6943860054016113
64,0.7053759098052979
65,0.7163753509521484
66,0.7272427082061768
67,0.7382395267486572
68,0.749335765838623
69,0.7602214813232422
70,0.7711997032165527
71,0.7824733257293701
72,0.7934942245483398
73,0.8043582439422607
74,0.8150098323822021
75,0.8255383968353271
76,0.8363742828369141
77,0.8472561836242676
78,0.8577444553375244
79,0.8684344291687012
80,0.8790395259857178
81,0.8895645141601562
82,0.9004755020141602
83,0.9110240936279297
84,0.9216060638427734
85,0.932471513748169
86,0.9431142807006836
87,0.9537312984466553
88,0.9644873142242432
89,0.9752984046936035
90,0.985710620880127
91,0.9962027072906494
92,1.0068416595458984
93,1.017460823059082
94,1.028111457824707
95,1.0390794277191162
96,1.0499615669250488
97,1.0604984760284424
98,1.0713376998901367
99,1.0823578834533691
100,1.093238115310669
101,1.104438304901123
102,1.1156489849090576
103,1.1263535022735596
104,1.1373796463012695
105,1.1482763290405273
106,1.1589577198028564
107,1.1692581176757812
108,1.1797914505004883
109,1.1910438537597656
110,1.201521396636963
111,1.2121496200561523
112,1.223250150680542
113,1.2336199283599854
114,1.244478702545166
115,1.2554409503936768
116,1.266266107559204
117,1.2772748470306396
118,1.2882707118988037
119,1.2990026473999023
120,1.3094141483306885
121,1.3202669620513916
122,1.3311595916748047
123,1.3421530723571777
124,1.3529915809631348
125,1.3637988567352295
126,1.374680757522583
127,1.385145902633667
128,1.3960909843444824
129,1.4068331718444824
130,1.4173033237457275
131,1.4277012348175049
132,1.4383645057678223
133,1.4491465091705322
134,1.4597764015197754
135,1.4710149765014648
136,1.4822421073913574
137,1.492690086364746
138,1.5033986568450928
139,1.5151991844177246
140,1.5255088806152344
141,1.5358500480651855
142,1.5466699600219727
143,1.5573205947875977
144,1.567575216293335
145,1.5781593322753906
146,1.588923454284668
147,1.5993335247039795
148,1.609708547592163
149,1.6204206943511963
150,1.6308937072753906
151,1.6415343284606934
152,1.6522200107574463
153,1.6628241539001465
154,1.6735343933105469
155,1.6848254203796387
156,1.695763349533081
157,1.706435203552246
158,1.7171673774719238
159,1.728062629699707
160,1.7384958267211914
161,1.7489147186279297
162,1.7592151165008545
163,1.769517421722412
164,1.7800226211547852
165,1.790715217590332
166,1.8015806674957275
167,1.812469720840454
168,1.822772741317749
169,1.8332829475402832
170,1.844207763671875
171,1.854524850845337
172,1.864870309829712
173,1.8755507469177246
174,1.8864905834197998
175,1.897355079650879
176,1.9080941677093506
177,1.9189872741699219
178,1.9297816753387451
179,1.940894603729248
180,1.9514036178588867
181,1.9624872207641602
182,1.9736363887786865
183,1.9843504428863525
184,1.9951300621032715
185,2.0055530071258545
186,2.0161924362182617
187,2.0265660285949707
188,2.037550926208496
189,2.04840087890625
190,2.058751344680786
191,2.069551706314087
192,2.0803720951080322
193,2.0912461280822754
194,2.1017119884490967
195,2.1122169494628906
196,2.1230528354644775
197,2.1340179443359375
198,2.1448469161987305
199,2.155853748321533
200,2.166473388671875
201,2.176966905593872
202,2.1873323917388916
203,2.1977195739746094
204,2.208346128463745
