,time
0,0.0002677440643310547
1,0.011332035064697266
2,0.022915124893188477
3,0.033789634704589844
4,0.04450583457946777
5,0.055816650390625
6,0.06627225875854492
7,0.07701396942138672
8,0.08768725395202637
9,0.0985574722290039
10,0.1090233325958252
11,0.11993622779846191
12,0.13115334510803223
13,0.14165139198303223
14,0.15268802642822266
15,0.16373133659362793
16,0.17460870742797852
17,0.1854245662689209
18,0.1963949203491211
19,0.2069411277770996
20,0.21745705604553223
21,0.22864460945129395
22,0.24003219604492188
23,0.2508656978607178
24,0.2617635726928711
25,0.2728137969970703
26,0.2837398052215576
27,0.2944505214691162
28,0.3053247928619385
29,0.3162245750427246
30,0.3271520137786865
31,0.3380870819091797
32,0.34918928146362305
33,0.36018896102905273
34,0.37111473083496094
35,0.381972074508667
36,0.3926994800567627
37,0.4035024642944336
38,0.4143033027648926
39,0.42464375495910645
40,0.4352452754974365
41,0.44615793228149414
42,0.4565761089324951
43,0.4674859046936035
44,0.47839808464050293
45,0.4888417720794678
46,0.49973177909851074
47,0.5107285976409912
48,0.521552324295044
49,0.5323126316070557
50,0.5429036617279053
51,0.5537941455841064
52,0.56463623046875
53,0.5749454498291016
54,0.5854816436767578
55,0.5961439609527588
56,0.6069977283477783
57,0.6175129413604736
58,0.6282825469970703
59,0.639214277267456
60,0.6498486995697021
61,0.6605210304260254
62,0.6713829040527344
63,0.6822800636291504
64,0.6928956508636475
65,0.7037017345428467
66,0.7144029140472412
67,0.7248337268829346
68,0.7354211807250977
69,0.7460911273956299
70,0.7566320896148682
71,0.767216682434082
72,0.7779078483581543
73,0.7884199619293213
74,0.7990403175354004
75,0.8097951412200928
76,0.8207223415374756
77,0.8316452503204346
78,0.8425073623657227
79,0.8529908657073975
80,0.8637728691101074
81,0.8740780353546143
82,0.8848683834075928
83,0.8956284523010254
84,0.9061346054077148
85,0.9169027805328369
86,0.9274816513061523
87,0.9381837844848633
88,0.948634147644043
89,0.9592037200927734
90,0.9701073169708252
91,0.9807705879211426
92,0.991441011428833
93,1.002248764038086
94,1.012763261795044
95,1.0234286785125732
96,1.0344364643096924
97,1.0454761981964111
98,1.0567374229431152
99,1.0673885345458984
100,1.078320026397705
101,1.0888054370880127
102,1.0997495651245117
103,1.1106576919555664
104,1.121537685394287
105,1.132021427154541
106,1.142890214920044
107,1.1536903381347656
108,1.1640219688415527
109,1.1743113994598389
110,1.1850948333740234
111,1.1963436603546143
