time,ins_x,ins_y,d1,d2,d3,d4,click
6.151199340820312e-05,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.011213064193725586,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.02233409881591797,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.03330850601196289,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.04436635971069336,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.05527520179748535,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.06588625907897949,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.0762794017791748,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.08700966835021973,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.09766578674316406,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.10828185081481934,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.11925745010375977,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.1301257610321045,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.14058566093444824,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.1513071060180664,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.1621079444885254,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.17297983169555664,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.1838984489440918,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.1947953701019287,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.20520257949829102,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.2154407501220703,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.22616076469421387,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.23744893074035645,1216.0,445.0,183.18644125038477,172.90947157246066,118.11817623555945,136.76990806646506,False
0.24809789657592773,1216.0,445.4,182.80990861815994,173.25855104480652,118.0738245097552,136.3740176324813,False
0.25922608375549316,1216.0,445.79999999999995,182.43347587539768,173.60785022810484,118.03081170400488,135.9781512521013,False
0.2701883316040039,1216.0,446.19999999999993,182.05714364171106,173.95736779884416,117.9891392826138,135.58230913601653,False
0.2812685966491699,1215.6,446.19999999999993,182.1932231377239,173.76339652739978,117.5912534096482,135.52527920457487,False
0.29160380363464355,1215.6,446.5999999999999,181.81727362467998,174.11352079438467,117.55078628234644,135.12929451526412,False
0.3022749423980713,1215.6,446.5999999999999,181.81727362467998,174.11352079438467,117.55078628234644,135.12929451526412,False
0.3133571147918701,1215.6,446.5999999999999,181.81727362467998,174.11352079438467,117.55078628234644,135.12929451526412,False
0.3238639831542969,1215.6,446.5999999999999,181.81727362467998,174.11352079438467,117.55078628234644,135.12929451526412,False
0.3343985080718994,1215.6,446.5999999999999,181.81727362467998,174.11352079438467,117.55078628234644,135.12929451526412,False
0.3451085090637207,1215.6,446.9999999999999,181.44142696559425,174.46385950704772,117.51166679416846,134.7333335478196,False
0.35567378997802734,1215.6,446.9999999999999,181.44142696559425,174.46385950704772,117.51166679416846,134.7333335478196,False
0.36607861518859863,1215.6,446.9999999999999,181.44142696559425,174.46385950704772,117.51166679416846,134.7333335478196,False
0.37691378593444824,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.38764500617980957,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.3982973098754883,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.40925002098083496,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.4197540283203125,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.43022966384887695,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.4413139820098877,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.45233798027038574,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.4630148410797119,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.47361111640930176,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.4842057228088379,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.4947488307952881,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.5054583549499512,1215.1999999999998,446.9999999999999,181.57884905914813,174.27137009655635,117.11352493432913,134.67713214102693,False
0.5159912109375,1215.1999999999998,447.39999999999986,181.20339085305278,174.62230838586797,117.07562598461526,134.28102939152146,False
0.5264825820922852,1215.1999999999998,447.79999999999984,180.82803789137216,174.9734572347687,117.03908183523701,133.8849498157342,False
